endpoint,featureset,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,fcfp4,RF,0.02,49,5,none,0.0,base,-0.0410564830128923,0.6241076278706296,0.3895103311663042,0.5152499263430422,0.1625905059056526,0.1747717712635786,0.0941610883716702
HLM,fcfp4,RF,0.02,49,6,none,0.0,base,-0.1710103341583857,0.6619157391550875,0.4381324457412258,0.5264195695048547,0.166891308364374,0.2388277268491853,0.0754676051426898
HLM,fcfp4,RF,0.02,49,7,none,0.0,base,0.015940324603593,0.6067825209373413,0.368185027715075,0.4969277330711972,0.2207042436018543,0.2226991199710342,0.1324560130084548
HLM,fcfp4,RF,0.02,49,8,none,0.0,base,-0.0881200031932434,0.6380588563811382,0.407119104206406,0.5351050857055012,0.0739509228571886,0.0563938209545849,0.048783047368577
HLM,fcfp4,RF,0.02,49,9,none,0.0,base,0.073764345072439,0.5886851648645032,0.3465502233315473,0.4854088123656957,0.2929581964187059,0.3243805731761466,0.1742474856478222
HLM,fcfp4,RF,0.02,49,10,none,0.0,base,-0.0831977960572345,0.636614062762822,0.4052774649073862,0.5162971802653722,0.1758918941443176,0.2055408858734403,0.1394024764470579
HLM,fcfp4,RF,0.02,49,11,none,0.0,base,-0.2064827031406897,0.6718663558771555,0.4514044001596485,0.5342981514239483,0.1151818520914437,0.1695932469076465,0.0849723294822759
HLM,fcfp4,RF,0.02,49,12,none,0.0,base,-0.0369831631596468,0.6228854648070533,0.3879863022678989,0.4904940326278317,0.2128034397146367,0.2269800080722073,0.1320751970777982
HLM,fcfp4,RF,0.02,49,13,none,0.0,base,-0.0982244983275919,0.6410145800379787,0.4108996918212662,0.523839067245955,0.1082442472400272,0.1030235755892866,0.0683270876080848
HLM,fcfp4,RF,0.02,49,14,none,0.0,base,0.039387789839838,0.5995099499070405,0.3594121800375422,0.5030438835372167,0.2272620529694326,0.2350197849471402,0.1363795934071624
HLM,fcfp4,RF,0.02,49,15,none,0.0,base,-0.1566832510931139,0.6578540725063495,0.4327719807131894,0.5301011385760521,0.092513130724545,0.0862151406863726,0.0437850478176356
HLM,fcfp4,RF,0.02,49,16,none,0.0,base,-0.0690956544172207,0.6324564502856471,0.4000011615079212,0.4980899694789648,0.2632154396279372,0.2709305826483466,0.1552540018942521
HLM,fcfp4,RF,0.02,49,17,none,0.0,base,-0.1111931317137953,0.6447882552776995,0.4157518941440597,0.5197690699029126,0.1596508587030845,0.1733159885648607,0.1061470342046577
HLM,fcfp4,RF,0.02,49,18,none,0.0,base,-0.060416159687862,0.6298839071539712,0.3967537364915527,0.5209111668252429,0.1300764514442354,0.1388467306729225,0.0836744468968967
HLM,fcfp4,RF,0.02,49,19,none,0.0,base,-0.132197650749515,0.6508538359221075,0.4236107157345217,0.5280407219288029,0.1233799130609841,0.1136017490162357,0.0467473739149471
