endpoint,featureset,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,fcfp4,RF,0.01,25,0,none,0.0,base,-0.0841083823412556,0.6368815901978193,0.405618159932903,0.5383796321003246,0.0939654028140506,0.1163646124776118,0.0644648339362275
HLM,fcfp4,RF,0.01,25,1,none,0.0,base,-0.0354726996225347,0.622431653851788,0.387421163716672,0.5215202240647249,0.1583296794972752,0.1746216810314353,0.1087878841255436
HLM,fcfp4,RF,0.01,25,2,none,0.0,base,-0.1256906634457906,0.6489808413080395,0.4211761323848906,0.5558033253333332,0.1418091053735433,0.1304559976899066,0.0836727289139249
HLM,fcfp4,RF,0.01,25,3,none,0.0,base,-0.0821546131977515,0.6363074406247407,0.4048871589944079,0.5242925336990292,0.1201639513692086,0.1545778478150051,0.0689532801897158
HLM,fcfp4,RF,0.01,25,4,none,0.0,base,0.0028712254600476,0.6107985095013831,0.3730748192091112,0.5185083179255662,0.1499989846626254,0.148306400221895,0.0802254033461853
HLM,fcfp4,RF,0.02,49,0,none,0.0,base,-0.1357122245820283,0.6518632451060524,0.4249256903201934,0.5408776708252437,0.1362387456367548,0.1797433109571289,0.112620865825094
HLM,fcfp4,RF,0.02,49,1,none,0.0,base,-0.0450355164087836,0.6252991946843584,0.3909990828729071,0.5158658234304203,0.2239052750111723,0.2267106786319994,0.1856805849647121
HLM,fcfp4,RF,0.02,49,2,none,0.0,base,0.0165094624383362,0.6066070270897226,0.3679720853146315,0.5140506291747574,0.1868886785144561,0.1691271136430027,0.1086849680724152
HLM,fcfp4,RF,0.02,49,3,none,0.0,base,-0.0592774405814828,0.6295456185052499,0.3963276857791576,0.495544422786408,0.2147713420549667,0.2344635152738128,0.1716507229459051
HLM,fcfp4,RF,0.02,49,4,none,0.0,base,-0.0556277584659379,0.6284601503301018,0.3949621605529341,0.5210333822006471,0.1230082278537894,0.1401990338950428,0.0817767295915232
HLM,fcfp4,RF,0.05,123,0,none,0.0,base,0.1199900237746866,0.5738073961830283,0.3292549279143469,0.476160076475728,0.3548918008943182,0.3508048352282452,0.2376953794674271
HLM,fcfp4,RF,0.05,123,1,none,0.0,base,0.0518694476444697,0.5956023666703298,0.3547421791832981,0.5011485845177992,0.2637821286909903,0.2581961026025972,0.1801565721845103
HLM,fcfp4,RF,0.05,123,2,none,0.0,base,0.0962668783020771,0.5814902588180052,0.3381309211002306,0.4785290883559869,0.335695983195009,0.3349957421228035,0.1964036123496428
HLM,fcfp4,RF,0.05,123,3,none,0.0,base,0.0593938298259016,0.5932343031808675,0.3519269384704893,0.4948343780614885,0.2604836396232823,0.2574662445004532,0.1619004398101142
HLM,fcfp4,RF,0.05,123,4,none,0.0,base,0.0250543410154574,0.603966080842731,0.3647750268085282,0.4985425682103559,0.2370187879941547,0.2463027500191692,0.1647846055301793
HLM,fcfp4,RF,0.1,247,0,none,0.0,base,0.1336993725326352,0.5693202856148134,0.3241255876125327,0.466845614886947,0.3777513990801931,0.3693890550771343,0.2560420474706265
HLM,fcfp4,RF,0.1,247,1,none,0.0,base,0.0856662100877087,0.5848907175013759,0.3420971514192743,0.4815080432427182,0.3261395243005275,0.3254593563606217,0.2471668102857166
HLM,fcfp4,RF,0.1,247,2,none,0.0,base,0.0688931470450239,0.5902311222048784,0.3483727776192301,0.4843946764983817,0.3036352861927998,0.3102923244846331,0.1828404392299215
HLM,fcfp4,RF,0.1,247,3,none,0.0,base,0.0701917664483777,0.5898193794348711,0.3478869003569364,0.4874602792330096,0.2915816734985759,0.3043077142878956,0.1981302606875045
HLM,fcfp4,RF,0.1,247,4,none,0.0,base,0.0961518011347239,0.581527279770406,0.338173977117168,0.4931361590291261,0.3196256073932762,0.3319144960929343,0.211025744970944
HLM,fcfp4,RF,0.2,494,0,none,0.0,base,0.1909169764072384,0.5501978493625972,0.3027176734432272,0.4615265845754583,0.4417294221690929,0.4345955738965729,0.2919295833235154
HLM,fcfp4,RF,0.2,494,1,none,0.0,base,0.157826495844735,0.5613363042663508,0.3150984464874052,0.4656295567184464,0.4001003029189294,0.4047130663003622,0.2968261661102961
HLM,fcfp4,RF,0.2,494,2,none,0.0,base,0.1154098948574549,0.5752986867363866,0.3309685789606111,0.4730526618867311,0.3668253866355008,0.3590197945015722,0.2309387857503737
HLM,fcfp4,RF,0.2,494,3,none,0.0,base,0.0872686881505331,0.5843779476652001,0.3414975857173913,0.4836760913754043,0.3135527528007611,0.3234134449896499,0.2187023786076019
HLM,fcfp4,RF,0.2,494,4,none,0.0,base,0.1199188923898342,0.5738305861985279,0.3292815416569461,0.4797266990485434,0.3502068405665333,0.3498699977802844,0.2420792701817351
HLM,fcfp4,RF,0.35,864,0,none,0.0,base,0.2161073330668953,0.541565069528439,0.2932927245333429,0.4522694220645091,0.4709710335205893,0.4691783892663078,0.322891526806695
HLM,fcfp4,RF,0.35,864,1,none,0.0,base,0.232247230654413,0.5359608163004688,0.2872539966094649,0.4454331033656954,0.4883241952750718,0.5012461263163926,0.3425347179541282
