endpoint,featureset,model,arm,Pearson_r_CV,Pearson_r_test,MAE
HLM,fcfp4,RF,base,0.5267889295452421,0.5055114832156349,0.4295026242662348
HLM,fcfp4,SVM,base,0.5859632669893092,0.5772335947629513,0.3969655738990136
HLM,fcfp4,XGBoost,base,0.5131883859776928,0.4833706060004227,0.4413515321332953
HLM,fcfp4,LightGBM,base,0.5519572753284535,0.5708706085354652,0.4024722346835769
HLM,fcfp4,Lasso,base,,,0.5218747513519325
HLM,rdkit,RF,base,0.59666894072908,0.6554952661608485,0.3777398670323622
HLM,rdkit,SVM,base,0.6293397795291831,0.7024814063554027,0.3449440454247663
HLM,rdkit,XGBoost,base,0.5746402037731712,0.6291001463284328,0.3817869430547023
HLM,rdkit,LightGBM,base,0.6344965818399141,0.6982855400159975,0.3473682563291871
HLM,rdkit,Lasso,base,0.4813604080175303,0.507195801772089,0.4572623786969153
HLM,hybrid,RF,base,0.6241087946526188,0.6616159302577399,0.3720330957443362
HLM,hybrid,SVM,base,0.6613935877719462,0.7192639376726486,0.3370016829693019
HLM,hybrid,XGBoost,base,0.6072703049673781,0.6742911580054197,0.3536406356780814
HLM,hybrid,LightGBM,base,0.6630916099440828,0.7214777992148463,0.3363949273419739
HLM,hybrid,Lasso,base,0.4813604080175303,0.507195801772089,0.4572623786969153
MDR1,fcfp4,RF,base,0.6075630055399569,0.6317280746516255,0.4165004461571654
MDR1,fcfp4,SVM,base,0.7032946117179385,0.7176086176265338,0.3703123063740881
MDR1,fcfp4,XGBoost,base,0.5976827455687691,0.5958813656652892,0.4247296456449664
MDR1,fcfp4,LightGBM,base,0.6371998397880849,0.6419426986729345,0.4007132852490371
MDR1,fcfp4,Lasso,base,,,0.5822828054863378
MDR1,rdkit,RF,base,0.6785516754869891,0.7032367801966904,0.3883362632362948
MDR1,rdkit,SVM,base,0.726978954043708,0.7255700437365161,0.3525413096276883
MDR1,rdkit,XGBoost,base,0.6372330182189391,0.663312296485944,0.3979136664567189
MDR1,rdkit,LightGBM,base,0.7028247436973885,0.7269480826350226,0.358472307763365
MDR1,rdkit,Lasso,base,0.5727118217796636,0.5873712268870263,0.4742609719757044
MDR1,hybrid,RF,base,0.6899518061116601,0.7147980760989906,0.3796798938336484
MDR1,hybrid,SVM,base,0.7460803834014954,0.7434489940004694,0.3409460554934099
MDR1,hybrid,XGBoost,base,0.6748477952022843,0.6841216698241759,0.3714507543481103
MDR1,hybrid,LightGBM,base,0.7162526169491669,0.7428200241847802,0.3413715657091209
MDR1,hybrid,Lasso,base,0.5727118217796636,0.5873712268870263,0.4742609719757044
SOL,fcfp4,RF,base,0.4922548016472402,0.4402427486136208,0.4316455825086587
SOL,fcfp4,SVM,base,0.5511151092530363,0.5378739334016742,0.4012722217606786
SOL,fcfp4,XGBoost,base,0.4918335120687165,0.4336663904901837,0.4447961419191414
SOL,fcfp4,LightGBM,base,0.4974667258579951,0.4657823072364498,0.4437964071237645
SOL,fcfp4,Lasso,base,,,0.5080320808171044
SOL,rdkit,RF,base,0.5368134388150945,0.5552891769602272,0.3987896358252872
SOL,rdkit,SVM,base,0.5477693769525644,0.5587565044435803,0.3756385322994561
SOL,rdkit,XGBoost,base,0.4804155743546933,0.4541608431218651,0.4224722065224349
SOL,rdkit,LightGBM,base,0.5407481723259173,0.5482115791104607,0.3859736851251811
SOL,rdkit,Lasso,base,0.4162611575060174,0.3977973818194998,0.458659515324839
SOL,hybrid,RF,base,0.5505287777006797,0.5659613300375432,0.3941957855264366
SOL,hybrid,SVM,base,0.5762892265505872,0.578841260193948,0.3741202107197332
SOL,hybrid,XGBoost,base,0.494305745634908,0.4799769489152325,0.4064159951521495
SOL,hybrid,LightGBM,base,0.5441753198401523,0.5871811687779728,0.3799458528508242
SOL,hybrid,Lasso,base,0.4162611575060174,0.3977973818194998,0.458659515324839
RLM,fcfp4,RF,base,0.5296921034602098,0.5107881501288911,0.5159190374430987
RLM,fcfp4,SVM,base,0.5936277075893858,0.5807746395896614,0.4824460580120294
RLM,fcfp4,XGBoost,base,0.5082263513976362,0.5113636595951816,0.5222403487875262
RLM,fcfp4,LightGBM,base,0.5440494225948148,0.5646748554106026,0.4961651398174995
RLM,fcfp4,Lasso,base,,,0.6283097293329635
RLM,rdkit,RF,base,0.6504051106387707,0.6516395227806451,0.4621942975810146
RLM,rdkit,SVM,base,0.6844175757732817,0.6694373718425076,0.4392988213387382
RLM,rdkit,XGBoost,base,0.6106079895038318,0.6292605886246084,0.4732100242859174
RLM,rdkit,LightGBM,base,0.6740244331772627,0.6665924991445479,0.4458173676236338
RLM,rdkit,Lasso,base,0.5080723605851525,0.5428866096687119,0.5487151219490737
RLM,hybrid,RF,base,0.6755153572836756,0.6779033225819088,0.448890156988543
RLM,hybrid,SVM,base,0.7114127170559096,0.696187932381515,0.420523685462542
RLM,hybrid,XGBoost,base,0.6587390652980325,0.6366225678619399,0.4663295970800996
RLM,hybrid,LightGBM,base,0.7019927083223394,0.6929961097646273,0.4267328362670827
RLM,hybrid,Lasso,base,0.5080723605851525,0.5428866096687119,0.5487151219490737
HLM,fcfp4,BayesianRidge,base,0.5212577259823129,0.5300688236607664,0.42120061045625445
HLM,rdkit,BayesianRidge,base,0.5724547035435904,0.6296437511965564,0.38221117579873326
HLM,hybrid,BayesianRidge,base,0.6214264166489378,0.6760194526533346,0.36411919890493133
MDR1,fcfp4,BayesianRidge,base,0.6536945130163943,0.6473848846880202,0.3953469720583125
MDR1,rdkit,BayesianRidge,base,0.6967012211471281,0.6984816930055674,0.38077795672618403
MDR1,hybrid,BayesianRidge,base,0.7201033724777788,0.7225700299187485,0.36292237249480047
SOL,fcfp4,BayesianRidge,base,0.5172406242418288,0.5139405569055105,0.4318862601526796
SOL,rdkit,BayesianRidge,base,0.5330911406351269,0.536582659875846,0.4274597499124895
SOL,hybrid,BayesianRidge,base,0.5680664669438565,0.5798279421650622,0.41412953155831433
RLM,fcfp4,BayesianRidge,base,0.553980257794406,0.5385640847315948,0.5118119853295466
RLM,rdkit,BayesianRidge,base,0.6463716768915572,0.6354389800167287,0.4647478491234901
RLM,hybrid,BayesianRidge,base,0.6901980679163751,0.6792003300679625,0.43325071206753796
